,Method Name,Stealing Dataset Size,Accuracy
0,KnockoffNet,250,0.0003398470688190314
1,KnockoffNet,500,0.0006796941376380628
2,KnockoffNet,1000,0.0
3,KnockoffNet,5000,0.0010195412064570944
4,KnockoffNet,10000,0.001869158878504673
5,KnockoffNet,20000,0.0016992353440951572
6,KnockoffNet,25000,0.0028887000849617673
7,KnockoffNet,40000,0.0013593882752761257
8,KnockoffNet,50000,0.0006796941376380628
0,KnockoffNet,250,0.0
1,KnockoffNet,500,0.0005097706032285472
2,KnockoffNet,1000,0.0005097706032285472
3,KnockoffNet,5000,0.0005097706032285472
4,KnockoffNet,10000,0.0005097706032285472
5,KnockoffNet,20000,0.0006796941376380628
6,KnockoffNet,25000,0.0016992353440951572
7,KnockoffNet,40000,0.001869158878504673
8,KnockoffNet,50000,0.0013593882752761257
