,Method Name,Stealing Dataset Size,Accuracy
0,KnockoffNet,250,0.0017158544955387784
1,KnockoffNet,500,0.019389155799588196
2,KnockoffNet,1000,0.018702814001372685
3,KnockoffNet,5000,0.016643788606726148
4,KnockoffNet,10000,0.015099519560741249
5,KnockoffNet,20000,0.04821551132463967
6,KnockoffNet,25000,0.025909402882635553
7,KnockoffNet,40000,0.02916952642415923
8,KnockoffNet,50000,0.19783802333562114
0,KnockoffNet,250,0.013555250514756348
1,KnockoffNet,500,0.009780370624571036
2,KnockoffNet,1000,0.018702814001372685
3,KnockoffNet,5000,0.02608098833218943
4,KnockoffNet,10000,0.06022649279341112
5,KnockoffNet,20000,0.11942347288949898
6,KnockoffNet,25000,0.0851063829787234
7,KnockoffNet,40000,0.07669869595058339
8,KnockoffNet,50000,0.2590940288263555
