,Method Name,Stealing Dataset Size,Accuracy
0,KnockoffNet,250,0.26439564240013835
1,KnockoffNet,500,0.662113090091648
2,KnockoffNet,1000,0.762752896420543
3,KnockoffNet,5000,0.8960747017119143
4,KnockoffNet,10000,0.0838665052740792
5,KnockoffNet,20000,0.03821545910427114
6,KnockoffNet,25000,0.17326647068995332
7,KnockoffNet,40000,0.3370223067611966
8,KnockoffNet,50000,0.045305204910945876
0,KnockoffNet,250,0.37160643264741483
1,KnockoffNet,500,0.45720214421580496
2,KnockoffNet,1000,0.7497838492132112
3,KnockoffNet,5000,0.8165312121736124
4,KnockoffNet,10000,0.6327165830883624
5,KnockoffNet,20000,0.28376275289642056
6,KnockoffNet,25000,0.4087843679750994
7,KnockoffNet,40000,0.4561646204392184
8,KnockoffNet,50000,0.5094241743039944
