,Method Name,Stealing Dataset Size,Accuracy
0,KnockoffNet,250,0.004227972264501945
1,KnockoffNet,500,0.014205986808726534
2,KnockoffNet,1000,0.12836123795027904
3,KnockoffNet,5000,0.44123118552342294
4,KnockoffNet,10000,0.16455268053441569
5,KnockoffNet,20000,0.13918484694740402
6,KnockoffNet,25000,0.734821579570438
7,KnockoffNet,40000,0.23997970573313038
8,KnockoffNet,50000,0.8357855572467444
0,KnockoffNet,250,0.029257568070353457
1,KnockoffNet,500,0.05885337392186707
2,KnockoffNet,1000,0.09808895653644512
3,KnockoffNet,5000,0.11128023000169118
4,KnockoffNet,10000,0.3762895315406731
5,KnockoffNet,20000,0.41062066632842886
6,KnockoffNet,25000,0.43125317097919835
7,KnockoffNet,40000,0.8291899205141214
8,KnockoffNet,50000,0.6966007102993405
