,query_budget,test_accuracy,watermark_accuracy,verification_confidence,p_value,threshold,fidelity,watermark_retention,test_acc_gap,kl_divergence,detectability_score,attack_time,stolen_model_size_params,stolen_model_size_mb
count,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
mean,50.0,0.10760000348091125,0.03999999910593033,0.0,1.0,0.16999999731779097,0.03587939698492462,0.16666666666666666,0.3774874433875084,1.0176328420639038,0.27726297971406577,4.397289991378784,307114.0,1.1715469360351562
std,,,,,,,,,,,,,,
min,50.0,0.10760000348091125,0.03999999910593033,0.0,1.0,0.16999999731779097,0.03587939698492462,0.16666666666666666,0.3774874433875084,1.0176328420639038,0.27726297971406577,4.397289991378784,307114.0,1.1715469360351562
25%,50.0,0.10760000348091125,0.03999999910593033,0.0,1.0,0.16999999731779097,0.03587939698492462,0.16666666666666666,0.3774874433875084,1.0176328420639038,0.27726297971406577,4.397289991378784,307114.0,1.1715469360351562
50%,50.0,0.10760000348091125,0.03999999910593033,0.0,1.0,0.16999999731779097,0.03587939698492462,0.16666666666666666,0.3774874433875084,1.0176328420639038,0.27726297971406577,4.397289991378784,307114.0,1.1715469360351562
75%,50.0,0.10760000348091125,0.03999999910593033,0.0,1.0,0.16999999731779097,0.03587939698492462,0.16666666666666666,0.3774874433875084,1.0176328420639038,0.27726297971406577,4.397289991378784,307114.0,1.1715469360351562
max,50.0,0.10760000348091125,0.03999999910593033,0.0,1.0,0.16999999731779097,0.03587939698492462,0.16666666666666666,0.3774874433875084,1.0176328420639038,0.27726297971406577,4.397289991378784,307114.0,1.1715469360351562
median,50.0,0.10760000348091125,0.03999999910593033,0.0,1.0,0.16999999731779097,0.03587939698492462,0.16666666666666666,0.3774874433875084,1.0176328420639038,0.27726297971406577,4.397289991378784,307114.0,1.1715469360351562
