,query_budget,test_accuracy,watermark_accuracy,verification_confidence,p_value,threshold,fidelity,watermark_retention,test_acc_gap,kl_divergence,detectability_score,attack_time,stolen_model_size_params,stolen_model_size_mb
count,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
mean,50.0,0.08190000057220459,0.05000000074505806,0.0,0.8784233454094308,0.20000000596046447,0.07336683417085427,0.16666666252745538,0.39768844842910767,1.0566586256027222,0.27870016356916627,4.423210859298706,307114.0,1.1715469360351562
std,,,,,,,,,,,,,,
min,50.0,0.08190000057220459,0.05000000074505806,0.0,0.8784233454094308,0.20000000596046447,0.07336683417085427,0.16666666252745538,0.39768844842910767,1.0566586256027222,0.27870016356916627,4.423210859298706,307114.0,1.1715469360351562
25%,50.0,0.08190000057220459,0.05000000074505806,0.0,0.8784233454094308,0.20000000596046447,0.07336683417085427,0.16666666252745538,0.39768844842910767,1.0566586256027222,0.27870016356916627,4.423210859298706,307114.0,1.1715469360351562
50%,50.0,0.08190000057220459,0.05000000074505806,0.0,0.8784233454094308,0.20000000596046447,0.07336683417085427,0.16666666252745538,0.39768844842910767,1.0566586256027222,0.27870016356916627,4.423210859298706,307114.0,1.1715469360351562
75%,50.0,0.08190000057220459,0.05000000074505806,0.0,0.8784233454094308,0.20000000596046447,0.07336683417085427,0.16666666252745538,0.39768844842910767,1.0566586256027222,0.27870016356916627,4.423210859298706,307114.0,1.1715469360351562
max,50.0,0.08190000057220459,0.05000000074505806,0.0,0.8784233454094308,0.20000000596046447,0.07336683417085427,0.16666666252745538,0.39768844842910767,1.0566586256027222,0.27870016356916627,4.423210859298706,307114.0,1.1715469360351562
median,50.0,0.08190000057220459,0.05000000074505806,0.0,0.8784233454094308,0.20000000596046447,0.07336683417085427,0.16666666252745538,0.39768844842910767,1.0566586256027222,0.27870016356916627,4.423210859298706,307114.0,1.1715469360351562
