,Method Name,Stealing Dataset Size,Accuracy
0,KnockoffNet,250,0.018864774624373956
1,KnockoffNet,500,0.0001669449081803005
2,KnockoffNet,1000,0.004841402337228714
3,KnockoffNet,5000,0.0015025041736227045
4,KnockoffNet,10000,0.13555926544240401
5,KnockoffNet,20000,0.11285475792988314
6,KnockoffNet,25000,0.19565943238731218
7,KnockoffNet,40000,0.15108514190317196
8,KnockoffNet,50000,0.2534223706176962
0,KnockoffNet,250,0.018530884808013355
1,KnockoffNet,500,0.0018363939899833056
2,KnockoffNet,1000,0.0031719532554257096
3,KnockoffNet,5000,0.018030050083472453
4,KnockoffNet,10000,0.0637729549248748
5,KnockoffNet,20000,0.03171953255425709
6,KnockoffNet,25000,0.05575959933222037
7,KnockoffNet,40000,0.07612687813021703
8,KnockoffNet,50000,0.05926544240400668
