,Method Name,Stealing Dataset Size,Accuracy
0,KnockoffNet,250,0.011288963774220725
1,KnockoffNet,500,0.014995787700084246
2,KnockoffNet,1000,0.0662173546756529
3,KnockoffNet,5000,0.19123841617523168
4,KnockoffNet,10000,0.061499578770008424
5,KnockoffNet,20000,0.10193765796124685
6,KnockoffNet,25000,0.02965459140690817
7,KnockoffNet,40000,0.14439764111204717
8,KnockoffNet,50000,0.3777590564448189
0,KnockoffNet,250,0.015332771693344566
1,KnockoffNet,500,0.004212299915754001
2,KnockoffNet,1000,0.08053917438921651
3,KnockoffNet,5000,0.015838247683235045
4,KnockoffNet,10000,0.02948609941027801
5,KnockoffNet,20000,0.040943555181128896
6,KnockoffNet,25000,0.05812973883740522
7,KnockoffNet,40000,0.10513900589721988
8,KnockoffNet,50000,0.1004212299915754
