,Method Name,Stealing Dataset Size,Accuracy
0,KnockoffNet,250,0.0015671251958906496
1,KnockoffNet,500,0.022636252829531602
2,KnockoffNet,1000,0.04422775552846944
3,KnockoffNet,5000,0.08253526031690754
4,KnockoffNet,10000,0.01689012711126589
5,KnockoffNet,20000,0.034476754309594286
6,KnockoffNet,25000,0.027337628417203552
7,KnockoffNet,40000,0.10621626327703292
8,KnockoffNet,50000,0.05833188229148529
0,KnockoffNet,250,0.0008706251088281386
1,KnockoffNet,500,0.033257879157234896
2,KnockoffNet,1000,0.01532300191537524
3,KnockoffNet,5000,0.02977537872192234
4,KnockoffNet,10000,0.02751175343896918
5,KnockoffNet,20000,0.06564513320564165
6,KnockoffNet,25000,0.05606825700853212
7,KnockoffNet,40000,0.03482500435312554
8,KnockoffNet,50000,0.10377851297231412
