,Method Name,Stealing Dataset Size,Accuracy
0,KnockoffNet,250,0.011190233977619531
1,KnockoffNet,500,0.014750762970498474
2,KnockoffNet,1000,0.01017293997965412
3,KnockoffNet,5000,0.048660562902678874
4,KnockoffNet,10000,0.09816887080366225
5,KnockoffNet,20000,0.03543574092912852
6,KnockoffNet,25000,0.015428958969142082
7,KnockoffNet,40000,0.08935232282129535
8,KnockoffNet,50000,0.05391658189216684
0,KnockoffNet,250,0.001017293997965412
1,KnockoffNet,500,0.017293997965412006
2,KnockoffNet,1000,0.0684977958630044
3,KnockoffNet,5000,0.05239064089521872
4,KnockoffNet,10000,0.04035266191929467
5,KnockoffNet,20000,0.09121736181756528
6,KnockoffNet,25000,0.061037639877924724
7,KnockoffNet,40000,0.10359443879281112
8,KnockoffNet,50000,0.22414377755171244
