,Method Name,Stealing Dataset Size,Accuracy
0,KnockoffNet,250,0.014703396991718777
1,KnockoffNet,500,0.008112219029913808
2,KnockoffNet,1000,0.0011830319418624302
3,KnockoffNet,5000,0.0070981916511745815
4,KnockoffNet,10000,0.015886428933581206
5,KnockoffNet,20000,0.015379415244211594
6,KnockoffNet,25000,0.005577150583065743
7,KnockoffNet,40000,0.019435524759168498
8,KnockoffNet,50000,0.007267196214297786
0,KnockoffNet,250,0.007267196214297786
1,KnockoffNet,500,0.002704073009971269
2,KnockoffNet,1000,0.0023660638837248605
3,KnockoffNet,5000,0.0016900456312320432
4,KnockoffNet,10000,0.012844346797363529
5,KnockoffNet,20000,0.041913131654554674
6,KnockoffNet,25000,0.023660638837248605
7,KnockoffNet,40000,0.019435524759168498
8,KnockoffNet,50000,0.014703396991718777
