,Method Name,Stealing Dataset Size,Accuracy
0,KnockoffNet,250,0.012692967409948542
1,KnockoffNet,500,0.02830188679245283
2,KnockoffNet,1000,0.020926243567753
3,KnockoffNet,5000,0.019039451114922813
4,KnockoffNet,10000,0.09210977701543739
5,KnockoffNet,20000,0.021955403087478557
6,KnockoffNet,25000,0.015437392795883362
7,KnockoffNet,40000,0.0516295025728988
8,KnockoffNet,50000,0.010120068610634648
0,KnockoffNet,250,0.09897084048027444
1,KnockoffNet,500,0.06174957118353345
2,KnockoffNet,1000,0.039965694682675815
3,KnockoffNet,5000,0.013036020583190394
4,KnockoffNet,10000,0.006346483704974271
5,KnockoffNet,20000,0.02058319039451115
6,KnockoffNet,25000,0.022641509433962263
7,KnockoffNet,40000,0.015608919382504288
8,KnockoffNet,50000,0.011663807890222984
