,Method Name,Stealing Dataset Size,Accuracy
0,KnockoffNet,250,0.0
1,KnockoffNet,500,0.002224694104560623
2,KnockoffNet,1000,0.0
3,KnockoffNet,5000,0.0005561735261401557
4,KnockoffNet,10000,0.002224694104560623
5,KnockoffNet,20000,0.005747126436781609
6,KnockoffNet,25000,0.0016685205784204673
7,KnockoffNet,40000,0.008342602892102336
8,KnockoffNet,50000,0.0007415647015202076
0,KnockoffNet,250,0.004449388209121246
1,KnockoffNet,500,0.0011123470522803114
2,KnockoffNet,1000,0.0
3,KnockoffNet,5000,0.0009269558769002596
4,KnockoffNet,10000,0.012050426399703374
5,KnockoffNet,20000,0.002224694104560623
6,KnockoffNet,25000,0.013162773451983686
7,KnockoffNet,40000,0.0011123470522803114
8,KnockoffNet,50000,0.0025954764553207266
