,Method Name,Stealing Dataset Size,Accuracy
0,KnockoffNet,250,0.07706064054625264
1,KnockoffNet,500,0.16566411965534059
2,KnockoffNet,1000,0.01219313932693871
3,KnockoffNet,5000,0.262396358315721
4,KnockoffNet,10000,0.003901804584620387
5,KnockoffNet,20000,0.0047146805397496345
6,KnockoffNet,25000,0.0034140790115428387
7,KnockoffNet,40000,0.006177857258982279
8,KnockoffNet,50000,0.04129409852056576
0,KnockoffNet,250,0.055112989757762965
1,KnockoffNet,500,0.08681515200780361
2,KnockoffNet,1000,0.0890912046821655
3,KnockoffNet,5000,0.0030889286294911397
4,KnockoffNet,10000,0.05039830921801333
5,KnockoffNet,20000,0.05283693708340107
6,KnockoffNet,25000,0.04812225654365144
7,KnockoffNet,40000,0.21622500406437978
8,KnockoffNet,50000,0.017395545439765892
