,Method Name,Stealing Dataset Size,Accuracy
0,KnockoffNet,250,0.00016286644951140066
1,KnockoffNet,500,0.00016286644951140066
2,KnockoffNet,1000,0.00016286644951140066
3,KnockoffNet,5000,0.0
4,KnockoffNet,10000,0.0
5,KnockoffNet,20000,0.000488599348534202
6,KnockoffNet,25000,0.0014657980456026058
7,KnockoffNet,40000,0.018566775244299675
8,KnockoffNet,50000,0.03908794788273615
0,KnockoffNet,250,0.0
1,KnockoffNet,500,0.0
2,KnockoffNet,1000,0.00016286644951140066
3,KnockoffNet,5000,0.0014657980456026058
4,KnockoffNet,10000,0.0003257328990228013
5,KnockoffNet,20000,0.0017915309446254071
6,KnockoffNet,25000,0.000488599348534202
7,KnockoffNet,40000,0.17133550488599347
8,KnockoffNet,50000,0.3314332247557003
