,Method Name,Stealing Dataset Size,Accuracy
0,KnockoffNet,250,0.01728608470181504
1,KnockoffNet,500,0.08936905790838374
2,KnockoffNet,1000,0.14140017286084702
3,KnockoffNet,5000,0.028522039757994815
4,KnockoffNet,10000,0.0926534140017286
5,KnockoffNet,20000,0.0219533275713051
6,KnockoffNet,25000,0.0029386343993085566
7,KnockoffNet,40000,0.02212618841832325
8,KnockoffNet,50000,0.1870354364736387
0,KnockoffNet,250,0.0019014693171996544
1,KnockoffNet,500,0.001728608470181504
2,KnockoffNet,1000,0.010371650821089023
3,KnockoffNet,5000,0.01659464131374244
4,KnockoffNet,10000,0.20777873811581676
5,KnockoffNet,20000,0.23422644770959378
6,KnockoffNet,25000,0.045462402765773555
7,KnockoffNet,40000,0.01313742437337943
8,KnockoffNet,50000,0.11806395851339671
