,Method Name,Stealing Dataset Size,Accuracy
0,KnockoffNet,250,0.016382252559726963
1,KnockoffNet,500,0.0020477815699658703
2,KnockoffNet,1000,0.4129692832764505
3,KnockoffNet,5000,0.07679180887372014
4,KnockoffNet,10000,0.2819112627986348
5,KnockoffNet,20000,0.025426621160409557
6,KnockoffNet,25000,0.041296928327645054
7,KnockoffNet,40000,0.04641638225255973
8,KnockoffNet,50000,0.15631399317406144
0,KnockoffNet,250,0.00870307167235495
1,KnockoffNet,500,0.03839590443686007
2,KnockoffNet,1000,0.015870307167235496
3,KnockoffNet,5000,0.19215017064846415
4,KnockoffNet,10000,0.04573378839590444
5,KnockoffNet,20000,0.10853242320819112
6,KnockoffNet,25000,0.12252559726962457
7,KnockoffNet,40000,0.08447098976109214
8,KnockoffNet,50000,0.15887372013651876
