,Method Name,Stealing Dataset Size,Accuracy
0,KnockoffNet,250,0.019414109897729244
1,KnockoffNet,500,0.0001733402669440111
2,KnockoffNet,1000,0.0008667013347200555
3,KnockoffNet,5000,0.004333506673600277
4,KnockoffNet,10000,0.001733402669440111
5,KnockoffNet,20000,0.059802392095683825
6,KnockoffNet,25000,0.015427283758016988
7,KnockoffNet,40000,0.012133818686080777
8,KnockoffNet,50000,0.022707574969665453
0,KnockoffNet,250,0.007626971745536488
1,KnockoffNet,500,0.004333506673600277
2,KnockoffNet,1000,0.0012133818686080777
3,KnockoffNet,5000,0.006066909343040388
4,KnockoffNet,10000,0.006413589876928411
5,KnockoffNet,20000,0.010747096550528688
6,KnockoffNet,25000,0.0124804992199688
7,KnockoffNet,40000,0.05113537874848327
8,KnockoffNet,50000,0.029641185647425898
