,Method Name,Stealing Dataset Size,Accuracy
0,KnockoffNet,250,0.6613945578231293
1,KnockoffNet,500,0.3112244897959184
2,KnockoffNet,1000,0.04251700680272109
3,KnockoffNet,5000,0.001530612244897959
4,KnockoffNet,10000,0.0035714285714285713
5,KnockoffNet,20000,0.002551020408163265
6,KnockoffNet,25000,0.0358843537414966
7,KnockoffNet,40000,0.007312925170068027
8,KnockoffNet,50000,0.015306122448979591
0,KnockoffNet,250,0.024489795918367346
1,KnockoffNet,500,0.04302721088435374
2,KnockoffNet,1000,0.009523809523809525
3,KnockoffNet,5000,0.018197278911564627
4,KnockoffNet,10000,0.004251700680272109
5,KnockoffNet,20000,0.029931972789115645
6,KnockoffNet,25000,0.026360544217687076
7,KnockoffNet,40000,0.014285714285714285
8,KnockoffNet,50000,0.29268707482993195
