,Method Name,Stealing Dataset Size,Accuracy
0,KnockoffNet,250,0.014372294372294373
1,KnockoffNet,500,0.07445887445887446
2,KnockoffNet,1000,0.014372294372294373
3,KnockoffNet,5000,0.005367965367965368
4,KnockoffNet,10000,0.00935064935064935
5,KnockoffNet,20000,0.03445887445887446
6,KnockoffNet,25000,0.021471861471861472
7,KnockoffNet,40000,0.013506493506493506
8,KnockoffNet,50000,0.02857142857142857
0,KnockoffNet,250,0.009870129870129871
1,KnockoffNet,500,0.07134199134199135
2,KnockoffNet,1000,0.08623376623376623
3,KnockoffNet,5000,0.004155844155844156
4,KnockoffNet,10000,0.012987012987012988
5,KnockoffNet,20000,0.01367965367965368
6,KnockoffNet,25000,0.05610389610389611
7,KnockoffNet,40000,0.10735930735930736
8,KnockoffNet,50000,0.030822510822510824
