,Method Name,Stealing Dataset Size,Accuracy
0,KnockoffNet,250,0.0
1,KnockoffNet,500,0.0
2,KnockoffNet,1000,0.0
3,KnockoffNet,5000,0.00029129041654529564
4,KnockoffNet,10000,0.3041071948732887
5,KnockoffNet,20000,0.024322749781532187
6,KnockoffNet,25000,0.05272356539469852
7,KnockoffNet,40000,0.08432857558986309
8,KnockoffNet,50000,0.3492572094378095
0,KnockoffNet,250,0.0
1,KnockoffNet,500,0.0
2,KnockoffNet,1000,0.0
3,KnockoffNet,5000,0.00029129041654529564
4,KnockoffNet,10000,0.001019516457908535
5,KnockoffNet,20000,0.08360034954849986
6,KnockoffNet,25000,0.15904456743373144
7,KnockoffNet,40000,0.21672006990969997
8,KnockoffNet,50000,0.23958636760850568
