,Method Name,Stealing Dataset Size,Accuracy
0,KnockoffNet,250,0.4867271793115259
1,KnockoffNet,500,0.9104298681281041
2,KnockoffNet,1000,0.9393731803390991
3,KnockoffNet,5000,0.4988867956841925
4,KnockoffNet,10000,0.08015071073814009
5,KnockoffNet,20000,0.22846377804418566
6,KnockoffNet,25000,0.03168350744990581
7,KnockoffNet,40000,0.23754067477307758
8,KnockoffNet,50000,0.22315464976879604
0,KnockoffNet,250,0.002740195238910772
1,KnockoffNet,500,0.9386881315293715
2,KnockoffNet,1000,0.27350573728378147
3,KnockoffNet,5000,0.4877547525261175
4,KnockoffNet,10000,0.5214934064052064
5,KnockoffNet,20000,0.14094879260147286
6,KnockoffNet,25000,0.15276588456927556
7,KnockoffNet,40000,0.3089570131871896
8,KnockoffNet,50000,0.0846035280013701
