,Method Name,Stealing Dataset Size,Accuracy
0,KnockoffNet,250,0.03814759287023155
1,KnockoffNet,500,0.04564384474429452
2,KnockoffNet,1000,0.06230218224221223
3,KnockoffNet,5000,0.0069965017491254375
4,KnockoffNet,10000,0.125104114609362
5,KnockoffNet,20000,0.028985507246376812
6,KnockoffNet,25000,0.01649175412293853
7,KnockoffNet,40000,0.027486256871564217
8,KnockoffNet,50000,0.17474596035315676
0,KnockoffNet,250,0.14442778610694654
1,KnockoffNet,500,0.0181575878727303
2,KnockoffNet,1000,0.003664834249541896
3,KnockoffNet,5000,0.07179743461602532
4,KnockoffNet,10000,0.008329168748958855
5,KnockoffNet,20000,0.01765783774779277
6,KnockoffNet,25000,0.02948525737131434
7,KnockoffNet,40000,0.03981342662002332
8,KnockoffNet,50000,0.16758287522905213
