,Method Name,Stealing Dataset Size,Accuracy
0,KnockoffNet,250,0.003825310806503028
1,KnockoffNet,500,0.009244501115715651
2,KnockoffNet,1000,0.002550207204335352
3,KnockoffNet,5000,0.000318775900541919
4,KnockoffNet,10000,0.0046222505578578255
5,KnockoffNet,20000,0.00940388906598661
6,KnockoffNet,25000,0.04335352247370099
7,KnockoffNet,40000,0.04622250557857826
8,KnockoffNet,50000,0.05148230793751992
0,KnockoffNet,250,0.0
1,KnockoffNet,500,0.003028371055148231
2,KnockoffNet,1000,0.118106471150781
3,KnockoffNet,5000,0.0028689831048772712
4,KnockoffNet,10000,0.002072043353522474
5,KnockoffNet,20000,0.010678992668154287
6,KnockoffNet,25000,0.020561045584953776
7,KnockoffNet,40000,0.031240038253108064
8,KnockoffNet,50000,0.11523748804590372
