,Method Name,Stealing Dataset Size,Accuracy
0,KnockoffNet,250,0.0
1,KnockoffNet,500,0.0
2,KnockoffNet,1000,0.0
3,KnockoffNet,5000,0.0
4,KnockoffNet,10000,0.0
5,KnockoffNet,20000,0.0
6,KnockoffNet,25000,0.0
7,KnockoffNet,40000,0.0
8,KnockoffNet,50000,0.0
0,KnockoffNet,250,0.002398081534772182
1,KnockoffNet,500,0.0
2,KnockoffNet,1000,0.0
3,KnockoffNet,5000,0.0
4,KnockoffNet,10000,0.00017129153819801302
5,KnockoffNet,20000,0.0
6,KnockoffNet,25000,0.0
7,KnockoffNet,40000,0.0
8,KnockoffNet,50000,0.00034258307639602604
