,Method Name,Stealing Dataset Size,Accuracy
0,KnockoffNet,250,0.00707736850571015
1,KnockoffNet,500,0.0062731220846067234
2,KnockoffNet,1000,0.004342930673958501
3,KnockoffNet,5000,0.008203313495254947
4,KnockoffNet,10000,0.009650957053241113
5,KnockoffNet,20000,0.014637284864082355
6,KnockoffNet,25000,0.00707736850571015
7,KnockoffNet,40000,0.03168730899147499
8,KnockoffNet,50000,0.03956892391828856
0,KnockoffNet,250,0.0008042464211034261
1,KnockoffNet,500,0.003538684252855075
2,KnockoffNet,1000,0.066430754383143
3,KnockoffNet,5000,0.0032169856844137044
4,KnockoffNet,10000,0.01753257198005469
5,KnockoffNet,20000,0.023001447643557986
6,KnockoffNet,25000,0.02525333762264758
7,KnockoffNet,40000,0.016245777706289207
8,KnockoffNet,50000,0.01576322985362715
