,Method Name,Stealing Dataset Size,Accuracy
0,KnockoffNet,250,0.0020836950859524223
1,KnockoffNet,500,0.001215488800138913
2,KnockoffNet,1000,0.04861955200555652
3,KnockoffNet,5000,0.01944782080222261
4,KnockoffNet,10000,0.020836950859524223
5,KnockoffNet,20000,0.04011113040458413
6,KnockoffNet,25000,0.07848584823754123
7,KnockoffNet,40000,0.1305782253863518
8,KnockoffNet,50000,0.08716791109567633
0,KnockoffNet,250,0.010592116686924813
1,KnockoffNet,500,0.003299183886091335
2,KnockoffNet,1000,0.04601493314811599
3,KnockoffNet,5000,0.04097933669039764
4,KnockoffNet,10000,0.2229553741969092
5,KnockoffNet,20000,0.08230595589512069
6,KnockoffNet,25000,0.023788852231290153
7,KnockoffNet,40000,0.23528390345546102
8,KnockoffNet,50000,0.17225212710540025
