,Method Name,Stealing Dataset Size,Accuracy
0,KnockoffNet,250,0.638984214138641
1,KnockoffNet,500,0.8515785861358957
2,KnockoffNet,1000,0.7522306108442004
3,KnockoffNet,5000,0.67124227865477
4,KnockoffNet,10000,0.6413864104323953
5,KnockoffNet,20000,0.44148936170212766
6,KnockoffNet,25000,0.7620109814687714
7,KnockoffNet,40000,0.4625943719972546
8,KnockoffNet,50000,0.5451269732326699
0,KnockoffNet,250,0.8620452985586822
1,KnockoffNet,500,0.901681537405628
2,KnockoffNet,1000,0.8761153054221003
3,KnockoffNet,5000,0.693891557995882
4,KnockoffNet,10000,0.7290665751544269
5,KnockoffNet,20000,0.7632120796156486
6,KnockoffNet,25000,0.6377831159917638
7,KnockoffNet,40000,0.6249142072752231
8,KnockoffNet,50000,0.8191489361702128
