,Method Name,Stealing Dataset Size,Accuracy
0,KnockoffNet,250,0.02212166918049271
1,KnockoffNet,500,0.0023462376403552876
2,KnockoffNet,1000,0.00318417965476789
3,KnockoffNet,5000,0.0016758840288252053
4,KnockoffNet,10000,0.0013407072230601643
5,KnockoffNet,20000,0.01843472431707726
6,KnockoffNet,25000,0.03117144293614882
7,KnockoffNet,40000,0.0015082956259426848
8,KnockoffNet,50000,0.0013407072230601643
0,KnockoffNet,250,0.0187699011228423
1,KnockoffNet,500,0.00904977375565611
2,KnockoffNet,1000,0.06016423663482487
3,KnockoffNet,5000,0.0005027652086475615
4,KnockoffNet,10000,0.0018434724317077259
5,KnockoffNet,20000,0.016591251885369532
6,KnockoffNet,25000,0.020445785151667506
7,KnockoffNet,40000,0.004189710072063013
8,KnockoffNet,50000,0.31087648734707557
