,Method Name,Stealing Dataset Size,Accuracy
0,KnockoffNet,250,0.014519986334130508
1,KnockoffNet,500,0.016399043389135635
2,KnockoffNet,1000,0.007345404851383669
3,KnockoffNet,5000,0.005295524427741715
4,KnockoffNet,10000,0.016399043389135635
5,KnockoffNet,20000,0.031089853091902972
6,KnockoffNet,25000,0.02425691834642979
7,KnockoffNet,40000,0.09497779296207721
8,KnockoffNet,50000,0.033310556884181754
0,KnockoffNet,250,0.0010249402118209772
1,KnockoffNet,500,0.010078578749572941
2,KnockoffNet,1000,0.021011274342330032
3,KnockoffNet,5000,0.004099760847283909
4,KnockoffNet,10000,0.02511103518961394
5,KnockoffNet,20000,0.12128459173214896
6,KnockoffNet,25000,0.016740690126409292
7,KnockoffNet,40000,0.041680901947386405
8,KnockoffNet,50000,0.05585924154424325
