,Method Name,Stealing Dataset Size,Accuracy
0,KnockoffNet,250,0.9727225939269172
1,KnockoffNet,500,0.9528220964144793
2,KnockoffNet,1000,0.9830159547092125
3,KnockoffNet,5000,0.18047692571624635
4,KnockoffNet,10000,0.007720020586721565
5,KnockoffNet,20000,0.3549493909761537
6,KnockoffNet,25000,0.23314462171899125
7,KnockoffNet,40000,0.0051466803911477095
8,KnockoffNet,50000,0.026419626007891578
0,KnockoffNet,250,0.9864470749699777
1,KnockoffNet,500,0.9840452907874421
2,KnockoffNet,1000,0.9691199176531138
3,KnockoffNet,5000,0.852461828787099
4,KnockoffNet,10000,0.007548464573683308
5,KnockoffNet,20000,0.03825699090753131
6,KnockoffNet,25000,0.06484817292846114
7,KnockoffNet,40000,0.3576942871847658
8,KnockoffNet,50000,0.10825184422714017
