,Method Name,Stealing Dataset Size,Accuracy
0,KnockoffNet,250,0.099481374
1,KnockoffNet,500,0.22159359
2,KnockoffNet,1000,0.42927864  0.52
3,KnockoffNet,5000,0.57567185 0.77
4,KnockoffNet,10000,0.70037717 0.85
5,KnockoffNet,20000,0.73125887 0.85
0,KnockoffNet,250,0.17939651
1,KnockoffNet,500,0.17821783
2,KnockoffNet,1000,0.42008486
3,KnockoffNet,5000,0.61834043
4,KnockoffNet,10000,0.69896275
5,KnockoffNet,20000,0.7355021
0,KnockoffNet,250,0.19189061
1,KnockoffNet,500,0.19589816
2,KnockoffNet,1000,0.38213107
3,KnockoffNet,5000,0.6289486
4,KnockoffNet,10000,0.71216404
5,KnockoffNet,20000,0.7352664
0,KnockoffNet,250,0.12965582
1,KnockoffNet,500,0.24988213
2,KnockoffNet,1000,0.41890618
3,KnockoffNet,5000,0.6395568
4,KnockoffNet,10000,0.70579916
5,KnockoffNet,20000,0.75695425
0,KnockoffNet,250,0.091937765
1,KnockoffNet,500,0.21570013
2,KnockoffNet,1000,0.40782648
3,KnockoffNet,5000,0.63224894
4,KnockoffNet,10000,0.72159356
5,KnockoffNet,20000,0.67515326
