,Method Name,Stealing Dataset Size,Accuracy
0,KnockoffNet,250,0.0011780545270952542
1,KnockoffNet,500,0.0035341635812857625
2,KnockoffNet,1000,0.0
3,KnockoffNet,5000,0.0006731740154830024
4,KnockoffNet,10000,0.0001682935038707506
5,KnockoffNet,20000,0.0
6,KnockoffNet,25000,0.0003365870077415012
7,KnockoffNet,40000,0.0010097610232245036
8,KnockoffNet,50000,0.0010097610232245036
0,KnockoffNet,250,0.00858296869740828
1,KnockoffNet,500,0.0031975765735442613
2,KnockoffNet,1000,0.002019522046449007
3,KnockoffNet,5000,0.0011780545270952542
4,KnockoffNet,10000,0.0015146415348367553
5,KnockoffNet,20000,0.0003365870077415012
6,KnockoffNet,25000,0.0001682935038707506
7,KnockoffNet,40000,0.0026926960619320095
8,KnockoffNet,50000,0.0010097610232245036
