,Method Name,Stealing Dataset Size,Accuracy
0,KnockoffNet,250,0.004567755032989342
1,KnockoffNet,500,0.030451700219928945
2,KnockoffNet,1000,0.020301133479952632
3,KnockoffNet,5000,0.4058534934867197
4,KnockoffNet,10000,0.1223143292167146
5,KnockoffNet,20000,0.4950093046861783
6,KnockoffNet,25000,0.35933006259516154
7,KnockoffNet,40000,0.25883945186939605
8,KnockoffNet,50000,0.33869057689054305
0,KnockoffNet,250,0.023346303501945526
1,KnockoffNet,500,0.04652343089155811
2,KnockoffNet,1000,0.024023007951277278
3,KnockoffNet,5000,0.05650482151920149
4,KnockoffNet,10000,0.019116900693622062
5,KnockoffNet,20000,0.5499915411943833
6,KnockoffNet,25000,0.54001015056674
7,KnockoffNet,40000,0.3429199796988665
8,KnockoffNet,50000,0.48874978852985956
