,Method Name,Stealing Dataset Size,Accuracy
0,KnockoffNet,250,0.0986127360855758
1,KnockoffNet,500,0.264750125355173
2,KnockoffNet,1000,0.09744275447100118
3,KnockoffNet,5000,0.5042620758816647
4,KnockoffNet,10000,0.46698980444593013
5,KnockoffNet,20000,0.3947852248036102
6,KnockoffNet,25000,0.49690790573290994
7,KnockoffNet,40000,0.6570282466989804
8,KnockoffNet,50000,0.8221627945846566
0,KnockoffNet,250,0.10813972923282635
1,KnockoffNet,500,0.09660705331773357
2,KnockoffNet,1000,0.04579642319906402
3,KnockoffNet,5000,0.1562761156610396
4,KnockoffNet,10000,0.19672405147919103
5,KnockoffNet,20000,0.6396456627110145
6,KnockoffNet,25000,0.6881163296005348
7,KnockoffNet,40000,0.479525321744944
8,KnockoffNet,50000,0.6464984121678088
