,Method Name,Stealing Dataset Size,Accuracy
0,KnockoffNet,250,0.0
1,KnockoffNet,500,0.02303455182774161
2,KnockoffNet,1000,0.006342847604740444
3,KnockoffNet,5000,0.00016691704223001168
4,KnockoffNet,10000,0.00016691704223001168
5,KnockoffNet,20000,0.03722250041729261
6,KnockoffNet,25000,0.007511266900350526
7,KnockoffNet,40000,0.006009013520280421
8,KnockoffNet,50000,0.0035052578868302454
0,KnockoffNet,250,0.0
1,KnockoffNet,500,0.004506760140210316
2,KnockoffNet,1000,0.0013353363378400935
3,KnockoffNet,5000,0.010682690702720748
4,KnockoffNet,10000,0.00100150225338007
5,KnockoffNet,20000,0.03238190619262227
6,KnockoffNet,25000,0.054915706893673845
7,KnockoffNet,40000,0.003171423802370222
8,KnockoffNet,50000,0.008679686195960608
