,Method Name,Stealing Dataset Size,Accuracy
0,KnockoffNet,250,0.0017301038062283738
1,KnockoffNet,500,0.10657439446366782
2,KnockoffNet,1000,0.11626297577854672
3,KnockoffNet,5000,0.0930795847750865
4,KnockoffNet,10000,0.011591695501730104
5,KnockoffNet,20000,0.01314878892733564
6,KnockoffNet,25000,0.06695501730103806
7,KnockoffNet,40000,0.01245674740484429
8,KnockoffNet,50000,0.12006920415224913
0,KnockoffNet,250,0.0
1,KnockoffNet,500,0.078719723183391
2,KnockoffNet,1000,0.060207612456747404
3,KnockoffNet,5000,0.016955017301038062
4,KnockoffNet,10000,0.052941176470588235
5,KnockoffNet,20000,0.3185121107266436
6,KnockoffNet,25000,0.3256055363321799
7,KnockoffNet,40000,0.22716262975778548
8,KnockoffNet,50000,0.21539792387543252
