,Method Name,Stealing Dataset Size,Accuracy
0,KnockoffNet,250,0.03937007874015748
1,KnockoffNet,500,0.055433070866141736
2,KnockoffNet,1000,0.007401574803149606
3,KnockoffNet,5000,0.08377952755905511
4,KnockoffNet,10000,0.10204724409448819
5,KnockoffNet,20000,0.12062992125984252
6,KnockoffNet,25000,0.095748031496063
7,KnockoffNet,40000,0.20377952755905512
8,KnockoffNet,50000,0.1215748031496063
0,KnockoffNet,250,0.009921259842519684
1,KnockoffNet,500,0.006456692913385827
2,KnockoffNet,1000,0.04267716535433071
3,KnockoffNet,5000,0.07291338582677165
4,KnockoffNet,10000,0.06409448818897638
5,KnockoffNet,20000,0.15039370078740158
6,KnockoffNet,25000,0.12661417322834645
7,KnockoffNet,40000,0.0552755905511811
8,KnockoffNet,50000,0.13858267716535433
