,Method Name,Stealing Dataset Size,Accuracy
0,KnockoffNet,250,0.0
1,KnockoffNet,500,0.00036703982382088455
2,KnockoffNet,1000,0.0
3,KnockoffNet,5000,0.0005505597357313268
4,KnockoffNet,10000,0.004955037621581942
5,KnockoffNet,20000,0.010093595155074325
6,KnockoffNet,25000,0.05560653330886401
7,KnockoffNet,40000,0.01119471462653698
8,KnockoffNet,50000,0.11855386309414571
0,KnockoffNet,250,0.015415672600477152
1,KnockoffNet,500,0.0
2,KnockoffNet,1000,0.0
3,KnockoffNet,5000,0.00018351991191044228
4,KnockoffNet,10000,0.0036703982382088455
5,KnockoffNet,20000,0.015599192512387594
6,KnockoffNet,25000,0.03285006423196917
7,KnockoffNet,40000,0.016700311983850247
8,KnockoffNet,50000,0.04973389612772986
