,Method Name,Stealing Dataset Size,Accuracy
0,KnockoffNet,250,0.3004
1,KnockoffNet,500,0.3928
2,KnockoffNet,1000,0.2364
3,KnockoffNet,5000,0.5106
4,KnockoffNet,10000,0.6408
5,KnockoffNet,20000,0.5708
0,KnockoffNet,250,0.3164
1,KnockoffNet,500,0.4082
2,KnockoffNet,1000,0.4102
3,KnockoffNet,5000,0.4786
4,KnockoffNet,10000,0.5984
5,KnockoffNet,20000,0.4922
0,KnockoffNet,250,0.3386
1,KnockoffNet,500,0.3948
2,KnockoffNet,1000,0.3242
3,KnockoffNet,5000,0.4164
4,KnockoffNet,10000,0.525
5,KnockoffNet,20000,0.621
