,Method Name,Stealing Dataset Size,Accuracy
0,KnockoffNet,250,0.029079712624016422
1,KnockoffNet,500,0.06072528224426959
2,KnockoffNet,1000,0.1619911050290797
3,KnockoffNet,5000,0.0935682517960999
4,KnockoffNet,10000,0.11426616489907629
5,KnockoffNet,20000,0.13701676359904208
6,KnockoffNet,25000,0.046869654464591175
7,KnockoffNet,40000,0.10451590831337666
8,KnockoffNet,50000,0.16147793362983237
0,KnockoffNet,250,0.04909339719466302
1,KnockoffNet,500,0.011973999315771467
2,KnockoffNet,1000,0.057817310981867945
3,KnockoffNet,5000,0.05319876838864181
4,KnockoffNet,10000,0.1125555935682518
5,KnockoffNet,20000,0.1105029079712624
6,KnockoffNet,25000,0.12931919261033184
7,KnockoffNet,40000,0.04840916866233322
8,KnockoffNet,50000,0.07919945261717413
