,query_budget,test_accuracy,watermark_accuracy,verification_confidence,p_value,threshold,fidelity,watermark_retention,test_acc_gap,kl_divergence,detectability_score,attack_time,stolen_model_size_params,stolen_model_size_mb
count,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
mean,50.0,0.07800000160932541,0.10526315867900848,0.0,0.5797350211684023,0.3657894611358643,0.05819095477386935,0.1666666745311687,0.4317587912082672,1.0151556730270386,0.26544389085787806,5.425797939300537,552874.0,2.1090469360351562
std,,,,,,,,,,,,,,
min,50.0,0.07800000160932541,0.10526315867900848,0.0,0.5797350211684023,0.3657894611358643,0.05819095477386935,0.1666666745311687,0.4317587912082672,1.0151556730270386,0.26544389085787806,5.425797939300537,552874.0,2.1090469360351562
25%,50.0,0.07800000160932541,0.10526315867900848,0.0,0.5797350211684023,0.3657894611358643,0.05819095477386935,0.1666666745311687,0.4317587912082672,1.0151556730270386,0.26544389085787806,5.425797939300537,552874.0,2.1090469360351562
50%,50.0,0.07800000160932541,0.10526315867900848,0.0,0.5797350211684023,0.3657894611358643,0.05819095477386935,0.1666666745311687,0.4317587912082672,1.0151556730270386,0.26544389085787806,5.425797939300537,552874.0,2.1090469360351562
75%,50.0,0.07800000160932541,0.10526315867900848,0.0,0.5797350211684023,0.3657894611358643,0.05819095477386935,0.1666666745311687,0.4317587912082672,1.0151556730270386,0.26544389085787806,5.425797939300537,552874.0,2.1090469360351562
max,50.0,0.07800000160932541,0.10526315867900848,0.0,0.5797350211684023,0.3657894611358643,0.05819095477386935,0.1666666745311687,0.4317587912082672,1.0151556730270386,0.26544389085787806,5.425797939300537,552874.0,2.1090469360351562
median,50.0,0.07800000160932541,0.10526315867900848,0.0,0.5797350211684023,0.3657894611358643,0.05819095477386935,0.1666666745311687,0.4317587912082672,1.0151556730270386,0.26544389085787806,5.425797939300537,552874.0,2.1090469360351562
