,Method Name,Stealing Dataset Size,Accuracy
0,KnockoffNet,250,0.001530612244897959
1,KnockoffNet,500,0.001530612244897959
2,KnockoffNet,1000,0.007312925170068027
3,KnockoffNet,5000,0.004591836734693878
4,KnockoffNet,10000,0.013605442176870748
5,KnockoffNet,20000,0.011394557823129252
6,KnockoffNet,25000,0.017687074829931974
7,KnockoffNet,40000,0.012755102040816327
8,KnockoffNet,50000,0.015306122448979591
0,KnockoffNet,250,0.015646258503401362
1,KnockoffNet,500,0.003401360544217687
2,KnockoffNet,1000,0.013775510204081633
3,KnockoffNet,5000,0.014965986394557823
4,KnockoffNet,10000,0.07585034013605442
5,KnockoffNet,20000,0.00935374149659864
6,KnockoffNet,25000,0.018197278911564627
7,KnockoffNet,40000,0.08707482993197278
8,KnockoffNet,50000,0.018197278911564627
