,Method Name,Stealing Dataset Size,Accuracy
0,KnockoffNet,250,0.1293240241193272
1,KnockoffNet,500,0.060615677562678515
2,KnockoffNet,1000,0.05046017137416693
3,KnockoffNet,5000,0.05649000317359568
4,KnockoffNet,10000,0.035068232307204066
5,KnockoffNet,20000,0.03633767058076801
6,KnockoffNet,25000,0.10933037131069502
7,KnockoffNet,40000,0.2024754046334497
8,KnockoffNet,50000,0.09885750555379244
0,KnockoffNet,250,0.06632814979371628
1,KnockoffNet,500,0.058394160583941604
2,KnockoffNet,1000,0.050777530942557915
3,KnockoffNet,5000,0.07695969533481435
4,KnockoffNet,10000,0.09330371310695018
5,KnockoffNet,20000,0.06712154871469375
6,KnockoffNet,25000,0.15011107584893685
7,KnockoffNet,40000,0.057600761662964135
8,KnockoffNet,50000,0.13725801332910187
