,Method Name,Stealing Dataset Size,Accuracy
0,KnockoffNet,250,0.0040128410914927765
1,KnockoffNet,500,0.012841091492776886
2,KnockoffNet,1000,0.0027287319422150884
3,KnockoffNet,5000,0.0036918138041733546
4,KnockoffNet,10000,0.010914927768860353
5,KnockoffNet,20000,0.014606741573033709
6,KnockoffNet,25000,0.0016051364365971107
7,KnockoffNet,40000,0.045425361155698236
8,KnockoffNet,50000,0.020224719101123594
0,KnockoffNet,250,0.04975922953451043
1,KnockoffNet,500,0.005778491171749599
2,KnockoffNet,1000,0.002568218298555377
3,KnockoffNet,5000,0.0014446227929373998
4,KnockoffNet,10000,0.026645264847512038
5,KnockoffNet,20000,0.006581059390048154
6,KnockoffNet,25000,0.015569823434991975
7,KnockoffNet,40000,0.008507223113964686
8,KnockoffNet,50000,0.026163723916532905
