,Method Name,Stealing Dataset Size,Accuracy
0,KnockoffNet,250,0.0006749915626054674
1,KnockoffNet,500,0.0
2,KnockoffNet,1000,0.0013499831252109348
3,KnockoffNet,5000,0.007256159298008775
4,KnockoffNet,10000,0.0
5,KnockoffNet,20000,0.1592980087748903
6,KnockoffNet,25000,0.013837327033412082
7,KnockoffNet,40000,0.0003374957813027337
8,KnockoffNet,50000,0.04404319946000675
0,KnockoffNet,250,0.0010124873439082012
1,KnockoffNet,500,0.0
2,KnockoffNet,1000,0.00016874789065136686
3,KnockoffNet,5000,0.04961187985150186
4,KnockoffNet,10000,0.0
5,KnockoffNet,20000,0.0048936888288896386
6,KnockoffNet,25000,0.0006749915626054674
7,KnockoffNet,40000,0.0013499831252109348
8,KnockoffNet,50000,0.046405669929125884
