,query_budget,test_accuracy,watermark_accuracy,verification_confidence,p_value,threshold,fidelity,watermark_retention,test_acc_gap,kl_divergence,detectability_score,attack_time,stolen_model_size_params,stolen_model_size_mb
count,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
mean,50.0,0.07375537604093552,0.03999999910593033,0.0,1.0,0.19000000059604644,0.05434531598799169,0.14285713905582625,0.7275421619415283,1.6196976900100708,0.16403498414305295,5.043930292129517,307114.0,1.1715469360351562
std,,,,,,,,,,,,,,
min,50.0,0.07375537604093552,0.03999999910593033,0.0,1.0,0.19000000059604644,0.05434531598799169,0.14285713905582625,0.7275421619415283,1.6196976900100708,0.16403498414305295,5.043930292129517,307114.0,1.1715469360351562
25%,50.0,0.07375537604093552,0.03999999910593033,0.0,1.0,0.19000000059604644,0.05434531598799169,0.14285713905582625,0.7275421619415283,1.6196976900100708,0.16403498414305295,5.043930292129517,307114.0,1.1715469360351562
50%,50.0,0.07375537604093552,0.03999999910593033,0.0,1.0,0.19000000059604644,0.05434531598799169,0.14285713905582625,0.7275421619415283,1.6196976900100708,0.16403498414305295,5.043930292129517,307114.0,1.1715469360351562
75%,50.0,0.07375537604093552,0.03999999910593033,0.0,1.0,0.19000000059604644,0.05434531598799169,0.14285713905582625,0.7275421619415283,1.6196976900100708,0.16403498414305295,5.043930292129517,307114.0,1.1715469360351562
max,50.0,0.07375537604093552,0.03999999910593033,0.0,1.0,0.19000000059604644,0.05434531598799169,0.14285713905582625,0.7275421619415283,1.6196976900100708,0.16403498414305295,5.043930292129517,307114.0,1.1715469360351562
median,50.0,0.07375537604093552,0.03999999910593033,0.0,1.0,0.19000000059604644,0.05434531598799169,0.14285713905582625,0.7275421619415283,1.6196976900100708,0.16403498414305295,5.043930292129517,307114.0,1.1715469360351562
