,Method Name,Stealing Dataset Size,Accuracy
0,KnockoffNet,250,0.15313070918452085
1,KnockoffNet,500,0.1634280019930244
2,KnockoffNet,1000,0.018933731938216243
3,KnockoffNet,5000,0.007473841554559043
4,KnockoffNet,10000,0.016608536787908985
5,KnockoffNet,20000,0.0013286829430327188
6,KnockoffNet,25000,0.23218734429496762
7,KnockoffNet,40000,0.15080551403421358
8,KnockoffNet,50000,0.014615512373359906
0,KnockoffNet,250,0.6326191662514532
1,KnockoffNet,500,0.025411061285500747
2,KnockoffNet,1000,0.08669656203288491
3,KnockoffNet,5000,0.014615512373359906
4,KnockoffNet,10000,0.01278857332668992
5,KnockoffNet,20000,0.05746553728616509
6,KnockoffNet,25000,0.3323368211260588
7,KnockoffNet,40000,0.09699385484138848
8,KnockoffNet,50000,0.02358412223883076
