,Method Name,Stealing Dataset Size,Accuracy
0,KnockoffNet,250,0.116
1,KnockoffNet,500,0.32
2,KnockoffNet,1000,0.612
3,KnockoffNet,5000,0.696
4,KnockoffNet,10000,0.796
5,KnockoffNet,20000,0.736
0,KnockoffNet,250,0.072
1,KnockoffNet,500,0.252
2,KnockoffNet,1000,0.668
3,KnockoffNet,5000,0.796
4,KnockoffNet,10000,0.756
5,KnockoffNet,20000,0.76
0,KnockoffNet,250,0.26
1,KnockoffNet,500,0.252
2,KnockoffNet,1000,0.608
3,KnockoffNet,5000,0.708
4,KnockoffNet,10000,0.78
5,KnockoffNet,20000,0.72
0,KnockoffNet,250,0.096
1,KnockoffNet,500,0.24
2,KnockoffNet,1000,0.712
3,KnockoffNet,5000,0.74
4,KnockoffNet,10000,0.764
5,KnockoffNet,20000,0.74
0,KnockoffNet,250,0.072
1,KnockoffNet,500,0.384
2,KnockoffNet,1000,0.604
3,KnockoffNet,5000,0.696
4,KnockoffNet,10000,0.708
5,KnockoffNet,20000,0.76
