,Method Name,Stealing Dataset Size,Accuracy
0,KnockoffNet,250,0.25648278
1,KnockoffNet,500,0.3243753
2,KnockoffNet,1000,0.33851957
3,KnockoffNet,5000,0.39321074
4,KnockoffNet,10000,0.4403583
5,KnockoffNet,20000,0.5579915
0,KnockoffNet,250,0.27652052
1,KnockoffNet,500,0.301273
2,KnockoffNet,1000,0.3387553
3,KnockoffNet,5000,0.4589816
4,KnockoffNet,10000,0.42220652
5,KnockoffNet,20000,0.50023574
0,KnockoffNet,250,0.3194248
1,KnockoffNet,500,0.28312117
2,KnockoffNet,1000,0.38566715
3,KnockoffNet,5000,0.422678
4,KnockoffNet,10000,0.46346062
5,KnockoffNet,20000,0.48349836
0,KnockoffNet,250,0.29019332
1,KnockoffNet,500,0.33710513
2,KnockoffNet,1000,0.34606317
3,KnockoffNet,5000,0.38330975
4,KnockoffNet,10000,0.57967937
5,KnockoffNet,20000,0.4688826
0,KnockoffNet,250,0.29019332
1,KnockoffNet,500,0.33710513
2,KnockoffNet,1000,0.34606317
3,KnockoffNet,5000,0.48330975
4,KnockoffNet,10000,0.67967937
5,KnockoffNet,20000,0.6688826
