,Method Name,Stealing Dataset Size,Accuracy
0,KnockoffNet,250,0.3194248
1,KnockoffNet,500,0.28312117
2,KnockoffNet,1000,0.38566715
3,KnockoffNet,5000,0.422678
4,KnockoffNet,10000,0.46346062
5,KnockoffNet,20000,0.48349836
0,KnockoffNet,250,0.29019332
1,KnockoffNet,500,0.33710513
2,KnockoffNet,1000,0.34606317
3,KnockoffNet,5000,0.38330975
4,KnockoffNet,10000,0.57967937
5,KnockoffNet,20000,0.4688826
